nomeDoProduto,preco,marca,memoriaRam,processador,tipoDeGabinete,imagem,promocao
Acer C24-1800 23.8in i5 8GB 512GB,£679.00,Acer,8 GB,-,All-in-one,-,-
ASUS Chromebox 5 S7009UN+,£896.17,ASUS,16 GB,Intel Core i7,Compact,-,-
Ernitec workstation-bx-i5-16-t2-gf3 tower workstation i5-12400.,"£2,098.08",Ernitec,-,-,Tower,-,-
HP Proliant ML350 P21788-421,"£2,551.18",HP,16 GB,Intel Xeon Silver,Tower,-,0.07 %
Apple Mac Studio 2022 - M1 Max 10C CPU 24C GPU 32GB 512GB,"£1,249.00",Apple,32 GB,Apple M1 Max,Compact,-,-
Intel Next Unit of Computing 11 Essential Kit BNUC11ATKC40000,£89.00,Intel,-,Intel Celeron,Barebone,-,-
HP 6b2s0ea#abu Pro Sff 290,£478.80,HP,8 GB,-,-,-,-
-,£699.99,Lenovo,16 GB,-,Tower,-,-
Lenovo ThinkStation P3 Tower 30GS000RUK Core i7-13700 32GB 1TB,"£1,007.99",Lenovo,32 GB,Intel Core i9,Tower,-,1.47 %
ASUS Mini PC PN52 BBR556HD,£405.96,ASUS,32 GB,AMD Ryzen 5,Compact,-,7.72 %
Lenovo IdeaCentre G5 14IMB05 90N900FCUK,£847.09,Lenovo,16 GB,Intel Core i5,Tower,-,-
Lenovo IdeaCentre AIO 5 27IAH7 F0GQ0010UK,£974.36,Lenovo,8 GB,Intel Core i5,All-in-one,-,-
Dell OptiPlex 3000 Thin Client DTS N5105,£269.00,Dell,"8 GB, 4 GB",-,-,-,27.10 %
Lenovo ThinkCentre M60E Tiny SFF PC i3-1005G1 8GB 256GB,£349.00,Lenovo,8 GB,-,Compact,-,-
Lenovo ThinkCentre Neo 50s 11T00048UK,£654.00,Lenovo,8 GB,Intel Core i7,Tower,-,-
Dell PowerEdge R350 rack-mountable,"£1,544.97",Dell,16 GB,-,-,-,1.15 %
-,"£1,969.99",Dell,-,-,Tower,-,9.19 %
Dell OptiPlex 3000 Thin Client,£299.00,Dell,8 GB,Intel Core i5,-,"https://www.pricerunner.com/product/40x40/3006591080/Dell-OptiPlex-3000-Thin-Client.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006591080/Dell-OptiPlex-3000-Thin-Client.jpg?ph=true&fmt=avif 2x",36.50 %
-,£359.99,Lenovo,8 GB,Intel Core i5,-,-,2.70 %
Dell OptiPlex 3000 Thin Client,£365.79,Dell,-,Intel Core i5,-,-,3.29 %
Lenovo ThinkCentre M70q Gen 3 11T300B4UK,£381.60,Lenovo,-,Intel Core i3,Compact,-,2.52 %
Dell OptiPlex 7010 Core i5-12500 8GB 512GB Windows Pro,£475.14,Dell,8 GB,Intel Core i5,Compact,-,-
-,£489.60,HP,8 GB,Intel Core i5,-,-,6.04 %
-,£507.82,Hewlett Packard,8 GB,Intel Core i5,Tower,-,-
-,£560.19,Hewlett Packard,-,-,-,-,-
Lenovo ThinkCentre M90q Gen 3 i5-12500T Mini,£579.49,Lenovo,-,-,"All-in-one, Compact",-,9.24 %
-,£603.45,Hewlett Packard,16 GB,-,Compact,-,-
-,£649.01,Hewlett Packard,8 GB,-,-,-,-
-,£657.97,Hewlett Packard,8 GB,-,Compact,-,-
Lenovo m70s g3 i5-12500 16gb 512gb,£729.99,Lenovo,16 GB,Intel Core i5,-,-,-
-,£814.51,HP,16 GB,Intel Core i7,-,-,6.95 %
Lenovo 11u5000huk Thinkcentre M90q Gen 3 I7-12700t Mini Tower,£919.99,Lenovo,16 GB,-,-,-,10.68 %
HP Z2 Mini G9 Workstation (865L5ET),"£1,013.37",HP,16 GB,Intel Core i7,Compact,-,6.90 %
HPE Hewlett Packard Enterprise ProLiant DL20 Gen10 Plus,"£1,022.97",HPE,16 GB,Intel Core i5,-,-,-
-,"£1,055.72",HP,16 GB,Intel Core i7,Tower,-,6.89 %
Dell Precision 3660 Tower Midi,"£1,662.30",Dell,32 GB,Intel Core i9,Tower,"https://www.pricerunner.com/product/40x40/3011740223/Dell-Precision-3660-Tower-Midi.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3011740223/Dell-Precision-3660-Tower-Midi.jpg?ph=true&fmt=avif 2x",-
Dell Vostro 3710 SFF JJFV6 Core 256GB,£449.44,Dell,8 GB,Intel Core i5,Tower,-,1.57 %
Lenovo ThinkCentre neo 50s SFF 11T000F7UK Core 256GB Pro,£477.60,Lenovo,8 GB,Intel Core i5,Compact,-,-
Lenovo ThinkCentre M70q i5-12400T mini PC,£607.10,Lenovo,16 GB,Intel Core i5,Compact,-,4.39 %
Lenovo ThinkCentre M90q i5-12500 mini Core™,£744.99,Lenovo,16 GB,Intel Core i5,Compact,-,-
HP Elite Mini 800 G9,£768.58,HP,16 GB,-,-,-,6.84 %
-,£806.14,Hewlett Packard,16 GB,-,Compact,-,-
-,£826.10,HP,16 GB,Intel Core i5,-,-,-
-,£967.81,HP,8 GB,-,All-in-one,-,-
Acer ConceptD CT300-51A (DT.C08EK.004),"£1,072.99",Acer,16 GB,Intel Core i7,Tower,-,4.11 %
Dell EMC PowerEdge T550 5U,"£2,566.20",Dell,8 GB,-,Tower,-,-
Dell PowerEdge R550 rack-mountable,"£2,632.40",Dell,-,-,Tower,-,-
Intel NUC 11 Pro NUC11TNHi5,£369.48,Intel,-,Intel Core i5,Barebone,-,-
Lenovo ThinkStation P620 30E0,"£2,660.50",Lenovo,32 GB,-,Tower,-,-
Lenovo IdeaCentre 3 07IMB05 90NB009LUK,£429.00,Lenovo,8 GB,Intel Core i5,Tower,-,4.45 %
Acer Chromebox CXI4 (DT.Z1MEK.003),£244.60,Acer,4 GB,Intel Celeron,Compact,-,-
Intel NUC NUC10I7FNHN,£549.99,Intel,-,Intel Core i7,Barebone,-,17.42 %
Acer Veriton Essential N VEN2580 (DT.VV4EG.004),£592.34,Acer,8 GB,Intel Core i3,Compact,"https://www.pricerunner.com/product/40x40/3006636843/Acer-Veriton-Essential-N-VEN2580-%28DT.VV4EG.004%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006636843/Acer-Veriton-Essential-N-VEN2580-%28DT.VV4EG.004%29.jpg?ph=true&fmt=avif 2x",0.05 %
HP OMEN 40L GT21-1024ng R7-7700X 32GB/2TB 1TB,"£2,265.46",HP,32 GB,-,Tower,"https://www.pricerunner.com/product/40x40/3012130514/HP-OMEN-40L-GT21-1024ng-R7-7700X-32GB-2TB-1TB.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3012130514/HP-OMEN-40L-GT21-1024ng-R7-7700X-32GB-2TB-1TB.jpg?ph=true&fmt=avif 2x",-
Apple Mac Mini (2020) Core i3 3.6GHz 8GB 256GB,£449.00,Apple,8 GB,Intel Core i3,Compact,-,-
Captiva Highend Gaming I71-400 i9-13900KF 32GB/2TB RTX 4080 Windows,"£3,632.23",Captiva,32 GB,-,Tower,-,-
Acer Nitro 50 N50-620 (DG.E2DEK.007),£799.04,Acer,8 GB,Intel Core i5,Tower,-,-
Lenovo Legion T5 28IMB05 90NC00A6UK,"£1,063.55",Lenovo,16 GB,Intel Core i5,Tower,-,2.93 %
MSI MAG Codex X5 11TD-426EU,"£2,567.00",MSI,32 GB,Intel Core i7,Tower,-,-
HPE Hewlett Packard Enterprise ProLiant DL20 Gen10 Plus,£814.97,HPE,16 GB,-,-,-,-
Asrock DeskMini 310 (Black),£170.70,Asrock,-,-,Barebone,-,22.35 %
Lenovo ThinkCentre M910q (10MV001KUK),£233.99,Lenovo,4 GB,Intel Core i5,Tower,-,-
-,-,-,-,-,-,-,-
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
HP OMEN 45L Gaming Desktop GT22-1003na NVIDIA® GeForce RTX™,"£2,349.99",HP,-,-,Tower,-,4.08 %
Intel NUC 11 Pro NUC11TNKv5,£283.21,Intel,8 GB,Intel Core i5,Barebone,-,15.22 %
ECS BAREBONE MINIPC COMPUTER LIVA Q2 N5030-0464,£194.99,ECS,-,-,Barebone,-,-
HP Elite t655 2.1,£407.39,HP,-,AMD Ryzen 5,-,-,-
HP Victus TG02-0035na Tower,£699.00,HP,8 GB,-,Tower,-,6.68 %
Intel NUC 13 Extreme Kit,"£1,191.29",Intel,-,-,-,-,-
Intel NUC 13 Pro Kit NUC13ANKi3,£330.89,Intel,-,-,Barebone,-,-
Acer Aspire C24-1650 (DQ.BFTEK.005),£299.99,Acer,8 GB,Intel Core i3,All-in-one,-,-
Lenovo ThinkCentre M75s Gen 2 3.9,£859.85,Lenovo,16 GB,Intel Core i7,-,-,-
Dell PowerEdge R250 rack-mountable Xeon,"£1,339.97",Dell,-,-,Tower,-,-
-,£219.99,Acer,8 GB,Intel Core i3,Compact,-,3.93 %
-,£666.00,Hewlett Packard,16 GB,-,Compact,-,-
Lenovo ThinkCentre M70s,£682.61,Lenovo,16 GB,Intel Core i5,Tower,-,9.20 %
HPE ProLiant ML30 Gen10 Plus Entry Server,£828.73,HPE,-,-,-,-,-
Gigabyte BRIX s GB-BRi3H-10110 (rev. 1.0),£277.19,Gigabyte,-,Intel Core i3,Barebone,-,-
Intel NUC 11 Pro Kit NUC11TNKi7,£379.84,Intel,-,Intel Core i7,Barebone,-,12.48 %
Dell OptiPlex 3080 8GJYD,£396.99,Dell,8 GB,Intel Core i3,Tower,"https://www.pricerunner.com/product/40x40/3002317704/Dell-OptiPlex-3080-8GJYD.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3002317704/Dell-OptiPlex-3080-8GJYD.jpg?ph=true&fmt=avif 2x",1.24 %
Intel Rnuc12wshv50000 Pc/workstation Barebone,£406.25,Intel,-,-,Barebone,"https://www.pricerunner.com/product/40x40/3007362020/Intel-Rnuc12wshv50000-Pc-workstation-Barebone.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3007362020/Intel-Rnuc12wshv50000-Pc-workstation-Barebone.jpg?ph=true&fmt=avif 2x",-
MSI PRO DP21 12M-i7 12700 BB,£426.76,MSI,-,-,Compact,-,-
"Calibrite ColorChecker Studio, LCD, 1024",£434.99,-,-,-,-,-,-
Acer Chromebox CXI5 Mini PC,£546.31,Acer,-,Intel Core i5,Compact,-,-
-,£626.10,Lenovo,8 GB,-,Compact,-,-
-,£660.71,ASUS,-,-,All-in-one,-,-
Lenovo ThinkCentre M90q Gen 3,£746.99,Lenovo,-,-,Compact,-,-
Lenovo ThinkStation P360 30FA0015UK,£820.49,Lenovo,16 GB,Intel Core i5,Compact,-,-
Dell Precision 3460 (0JXT1),£907.99,Dell,16 GB,Intel Core i7,Compact,-,2.16 %
Dell EMC PowerEdge R250 1U Rack-mountable Server,£987.47,Dell,-,-,-,-,-
Dell OptiPlex 7000 (3MRNN),"£1,066.49",Dell,16 GB,Intel Core i7,Compact,-,-
-,"£1,195.54",HP,16 GB,Intel Core i7,-,-,8.42 %
Viewsonic Vpc27-w53-o1-1b I7-10700t 16gb 256g Ssd,"£1,279.31",Viewsonic,16 GB,Intel Core i7,All-in-one,-,0.05 %
Dell Precision 3460 Small Form Factor,"£1,299.50",Dell,16 GB,Intel Core i7,Compact,-,-
Lenovo ThinkStation P620 30E0004BUK,"£1,999.99",Lenovo,16 GB,AMD Ryzen Threadripper Pro,Tower,-,11.11 %
Dell Phxvp Poweredge R650xs Server 2.1,"£2,523.97",Dell,32 GB,-,-,-,8.72 %
Dell PowerEdge R750xs Server rack-mountable 2U,"£2,791.34",Dell,32 GB,-,-,-,-
Dell PowerEdge R650xs rack-mountable,"£3,177.97",Dell,16 GB,-,-,"https://www.pricerunner.com/product/40x40/3006602322/Dell-PowerEdge-R650xs-rack-mountable.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006602322/Dell-PowerEdge-R650xs-rack-mountable.jpg?ph=true&fmt=avif 2x",-
Lenovo ThinkStation P620 30E000TXUK,"£3,633.99",Lenovo,16 GB,AMD Ryzen Threadripper Pro,Tower,"https://www.pricerunner.com/product/40x40/3006390048/Lenovo-ThinkStation-P620-30E000TXUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006390048/Lenovo-ThinkStation-P620-30E000TXUK.jpg?ph=true&fmt=avif 2x",0.49 %
-,£219.15,ASUS,-,-,Compact,-,-
Gigabyte Brix Pro GB-BSi3-1115G4 (Black),£228.86,Gigabyte,-,Intel Core i3,Barebone,-,0.05 %
MSI PRO DP21 12M-i3 12100,£229.96,MSI,-,-,Compact,-,4.18 %
-,£389.99,Lenovo,-,Intel Core i5,Compact,-,7.70 %
MSI pro dp20za 5m amd ryzen,£409.99,MSI,-,-,-,-,-
-,£449.00,HP,-,Intel Core i5,Compact,-,-
HP ProOne 400 G6 20inch,£460.49,HP,8 GB,Intel Core i5,All-in-one,-,-
-,£479.00,HP,-,-,All-in-one,-,-
HP 290 G3 SFF PC 512GB SSD,£504.00,HP,16 GB,-,Tower,-,-
Intel NUC 11 Pro Kit NUC11TNHI7,£511.88,Intel,-,Intel Core i7,Barebone,-,-
HP Elite 800 G9 Wolf Pro,£624.00,HP,8 GB,-,Compact,-,-
HP ProDesk 400 G6 47L41EA,£627.68,HP,16 GB,Intel Core i5,Compact,-,-
HP Elite Mini 600 G9 Mini,£650.26,HP,-,-,Compact,-,-
ASUS Chromebox 5 G5104UN Mini PC,£657.19,ASUS,-,-,Compact,-,-
-,£758.99,Lenovo,-,Intel Core i5,Compact,-,3.31 %
Lenovo ThinkCentre M70s,£833.33,Lenovo,16 GB,Intel Core i7,Tower,-,-
Fujitsu PRIMERGY TX1320 M5 server,£893.32,Fujitsu,-,-,-,"https://www.pricerunner.com/product/40x40/3010836191/Fujitsu-PRIMERGY-TX1320-M5-server.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3010836191/Fujitsu-PRIMERGY-TX1320-M5-server.jpg?ph=true&fmt=avif 2x",-
-,£899.99,Lenovo,16 GB,Intel Core i7,-,-,4.26 %
Dell Precision 3260 (XCFT3),£936.76,Dell,16 GB,Intel Core i7,Compact,-,-
Lenovo ThinkCentre M70s Gen 3 SFF,£974.99,Lenovo,-,-,-,-,-
-,£987.49,Lenovo,16 GB,Intel Core i5,Tower,-,-
Dell Precision 3460 (WRXM9),£999.00,Dell,16 GB,Intel Core i5,Compact,-,1.96 %
Dell OptiPlex 7400 (F4KWX),"£1,029.00",Dell,8 GB,Intel Core i5,All-in-one,-,1.91 %
Intel NUC 13 Extreme Kit NUC13RNGi5,"£1,049.99",Intel,-,Intel Core i5,Barebone,-,-
-,"£1,749.00",HP,-,-,Tower,-,2.78 %
Dell PowerEdge R450 rack-mountable,"£2,673.97",Dell,-,-,Tower,-,-
Dell EMC PowerEdge R750xs Server rack-mountable,"£4,095.04",Dell,32 GB,-,Tower,-,-
Asrock DeskMini B760 Mini Barebone PC DDR4 SO-DIMM,£209.99,Asrock,-,-,Barebone,-,-
Intel NUC 13 Pro Kit Nettop,£451.41,Intel,-,-,Barebone,-,-
-,£504.99,HP,8 GB,Intel Core i5,-,-,-
Lenovo ThinkCentre M70q 11MY002XUK,£601.99,Lenovo,8 GB,Intel Core i5,Compact,-,-
"Dell OptiPlex 7400 23.8""",£678.02,Dell,8 GB,Intel Core i5,All-in-one,-,-
Lenovo Legion T5 26AMR5 90RC00N3UK,"£1,545.93",Lenovo,16 GB,AMD Ryzen 7,Tower,-,-
Dell PowerEdge R750xs rack-mountable Xeon,"£3,415.61",Dell,-,-,Tower,-,-
Intel NUC 10 Performance Kit NUC10i3FNHN,£172.29,Intel,-,Intel Core i3,Barebone,"https://www.pricerunner.com/product/40x40/3003209156/Intel-NUC-10-Performance-Kit-NUC10i3FNHN.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3003209156/Intel-NUC-10-Performance-Kit-NUC10i3FNHN.jpg?ph=true&fmt=avif 2x",-
Intel NUC 10 BXNUC10I5FNKN2,£328.00,Intel,-,Intel Core i5,Barebone,"https://www.pricerunner.com/product/40x40/3011935488/Intel-NUC-10-BXNUC10I5FNKN2.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3011935488/Intel-NUC-10-BXNUC10I5FNKN2.jpg?ph=true&fmt=avif 2x",-
Acer Veriton VN4670GT (DT.VTZEK.007),£331.53,Acer,8 GB,Intel Core i5,Compact,-,-
Intel NUC 11 Pro Kit NUC11TNKi5,£390.64,Intel,-,Intel Core i5,Barebone,-,3.28 %
Intel NUC 11 Pro Kit NUC11TNKi7 - BNUC11TNKI70002,£499.99,Intel,-,Intel Core i7,Barebone,-,5.66 %
Acer Veriton EN2580 (DT.VV3EK.003),£539.14,Acer,8 GB,Intel Core i5,Compact,-,-
ASUS ViVo V241EAK-BA045T,£788.37,ASUS,8 GB,Intel Core i7,All-in-one,-,-
Dell Precision 3450 (510MC),£893.54,Dell,8 GB,Intel Core i5,Tower,-,-
Lenovo ThinkCentre M90q 11MQ002RUK,"£1,081.47",Lenovo,16 GB,Intel Core i7,Compact,-,-
Lenovo ThinkCentre M90t Gen 3 11TV001GSP,"£1,211.45",Lenovo,16 GB,Intel Core i7,Tower,-,-
Dell Precision 3240 (F48DF),"£1,568.20",Dell,16 GB,Intel Core i7,Tower,-,-
Fujitsu PRIMERGY RX2540 M5 2U Rack Server,"£2,788.99",Fujitsu,-,-,Tower,-,-
Dell EMC PowerEdge R450 Server rack-mountable,"£2,859.49",Dell,16 GB,-,-,-,-
Acer Aspire XC-840 DT.BH4EK.002,£373.00,Acer,4 GB,Intel Pentium,Tower,-,-
Intel NUC 12 Pro Kit NUC12WSHi5 RNUC12WSHI50000,£433.83,Intel,-,Intel Core i5,Barebone,-,-
Acer Veriton N VN6670G (DT.VT2EK.001),£472.09,Acer,8 GB,Intel Core i5,Tower,-,-
Dell OptiPlex 5090 (J191W),£536.60,Dell,8 GB,Intel Core i5,Compact,-,-
Intel NUC 12 Pro Kit NUC12WSKi50Z,£604.80,Intel,-,Intel Core i5,Barebone,-,-
Lenovo ThinkCentre M70t Gen 3 11T60021UK,£758.77,Lenovo,8 GB,Intel Core i5,Tower,"https://www.pricerunner.com/product/40x40/3006398382/Lenovo-ThinkCentre-M70t-Gen-3-11T60021UK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006398382/Lenovo-ThinkCentre-M70t-Gen-3-11T60021UK.jpg?ph=true&fmt=avif 2x",-
Lenovo IdeaCentre AIO 5i F0G300EUUK,£779.99,Lenovo,8 GB,Intel Core i5,All-in-one,"https://www.pricerunner.com/product/40x40/3009298748/Lenovo-IdeaCentre-AIO-5i-F0G300EUUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3009298748/Lenovo-IdeaCentre-AIO-5i-F0G300EUUK.jpg?ph=true&fmt=avif 2x",-
HP ProOne 440 G6 23H22EA,£986.99,HP,16 GB,Intel Core i5,All-in-one,-,-
MSI PRO DP21 11MA 091EU,"£1,004.71",MSI,8 GB,Intel Core i5,Compact,-,-
HP Workstation Z2 G9 5F0E7EA,"£1,627.40",HP,16 GB,Intel Core i7,Tower,-,-
MSI MPG Trident 3 Arctic 11TC-028UK,"£1,877.24",MSI,16 GB,Intel Core i7,Compact,-,-
Lenovo ThinkStation P360 30FM001RUK,"£1,891.06",Lenovo,16 GB,Intel Core i9,Tower,-,-
Dell Precision 5820 (7G9X6),"£1,918.88",Dell,16 GB,Intel Xeon W,Tower,-,-
-,£419.00,CyberPower,-,-,Tower,-,-
Acer Aspire XC-1760 (DT.BHWEK.00C),£499.00,Acer,8 GB,Intel Core i5,Compact,-,-
HP 24-df0073n,£503.71,HP,4 GB,Intel Pentium Gold,All-in-one,-,-
HP Pavilion 24-ca1003na,£749.00,HP,8 GB,AMD Ryzen 5,All-in-one,-,-
-,"£1,699.00",Medion,-,-,-,-,-
Lenovo IdeaCentre AIO 3i F0G500C1UK,£409.99,Lenovo,4 GB,Intel Pentium Gold,All-in-one,-,1.20 %
Asrock DeskMeet B660 Series Barebone,£249.70,Asrock,-,-,Barebone,-,-
Dell OptiPlex 3000 (WG7M9),£668.08,Dell,16 GB,Intel Core i5,Compact,-,-
Apple Mac Studio 2022 M1 Ultra 64GB 1TB,"£3,199.00",Apple,-,Apple M1 Ultra,Compact,-,-
HP ProLiant ML350 Gen11 Standardkühlkörperkit P47223-B21,£66.22,HP,-,-,-,-,64.47 %
HP Slim S01-aF2000na,£209.99,HP,4 GB,Intel Pentium Silver,-,"https://www.pricerunner.com/product/40x40/3007337359/HP-Slim-S01-aF2000na.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3007337359/HP-Slim-S01-aF2000na.jpg?ph=true&fmt=avif 2x",4.55 %
Asrock Jupiter H610 Mini DDR4,£228.46,Asrock,-,-,-,"https://www.pricerunner.com/product/40x40/3013062201/Asrock-Jupiter-H610-Mini-DDR4.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3013062201/Asrock-Jupiter-H610-Mini-DDR4.jpg?ph=true&fmt=avif 2x",-
Tracker Black,£348.00,-,-,-,Tower,-,-
Lenovo ThinkCentre M80t 11CS0000UK,£388.18,Lenovo,8 GB,Intel Core i5,Tower,-,35.52 %
Intel Next Unit of Computing Kit 11 RNUC11PHKI7C003,£452.49,Intel,-,Intel Core i7,Barebone,-,-
ASUS Mini PC PN52 Barebone DDR4,£459.98,ASUS,-,-,Barebone,-,-
Intel NUC Kit 11 Pro Kit NUC11TNHi5,£466.69,Intel,-,Intel Core i5,Barebone,-,-
Lenovo Ideacentre Aio 3I F0G0003HUK,£542.99,Lenovo,4 GB,Intel Core i3,All-in-one,-,-
-,£579.95,ASUS,-,-,-,-,-
ASUS PN64 Core i7 12700H,£599.99,ASUS,-,-,Compact,-,-
Lenovo IdeaCentre 5i PC RTX,£699.99,Lenovo,-,Intel Core i5,Tower,-,-
HP Pavilion TP01-0006na,£705.22,HP,8 GB,Intel Core i5,Tower,-,-
Intel NUC 12 Extreme Kit - NUC12DCMi7,£899.94,Intel,-,Intel Core i7,Barebone,-,-
-,£929.99,Medion,16 GB,Intel Core i7,Tower,-,15.37 %
Intel NUC 12 Extreme Kit NUC12DCMi9,"£1,054.63",Intel,-,Intel Core i9,Barebone,-,-
Dell EMC PowerEdge R250 1U Rack-mountable Server,"£1,132.81",Dell,-,-,Tower,-,-
Lenovo IdeaCentre Gaming 5 17ACN7 5700G Tower,"£1,304.74",Lenovo,-,AMD Ryzen 7,Tower,-,-
Dell Precision 3450 (MJR75),"£1,372.97",Dell,16 GB,Intel Core i7,Compact,-,-
Lenovo IdeaCentre 5 14ACN6 90RX002BUK,£650.00,Lenovo,8 GB,AMD Ryzen 7,Tower,"https://www.pricerunner.com/product/40x40/3004088489/Lenovo-IdeaCentre-5-14ACN6-90RX002BUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3004088489/Lenovo-IdeaCentre-5-14ACN6-90RX002BUK.jpg?ph=true&fmt=avif 2x",-
Lenovo IdeaCentre G5 14IMB05 90N9005GUK,£746.11,Lenovo,16 GB,Intel Core i5,Tower,"https://www.pricerunner.com/product/40x40/3002518510/Lenovo-IdeaCentre-G5-14IMB05-90N9005GUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3002518510/Lenovo-IdeaCentre-G5-14IMB05-90N9005GUK.jpg?ph=true&fmt=avif 2x",-
Acer Nitro 50 N50-620 (DG.E2DEK.008),£921.99,Acer,8 GB,Intel Core i5,Tower,-,-
MSI Codex 5 10SC-262UK,"£1,198.51",MSI,16 GB,Intel Core i7,Tower,-,-
Packard Enterprise P54644-421 Proliant Microserver Gen10+ V2 Server Ultra Micro,£614.97,-,16 GB,-,-,-,-
HPE ProLiant ML30 Gen10 Plus Performance Server,£864.97,HPE,-,-,-,-,-
Intel NUC 11 Pro Kit NUC11TNHv5,£419.99,Intel,-,Intel Core i5,Barebone,-,-
HPE ProLiant MicroServer Gen10+ v2 Xeon E-2314,£920.94,HPE,8 GB,-,Tower,-,0.33 %
Dell DESKTOP B2B OPTIPLEX 3000 THIN CLIENT,£330.97,Dell,-,-,-,-,8.05 %
Acer Aspire C22-1600 21.5,£399.00,Acer,-,-,All-in-one,-,11.14 %
-,£479.00,HP,8 GB,-,-,-,17.27 %
-,£569.86,Hewlett Packard,16 GB,-,Compact,-,-
Lenovo ThinkCentre M90s 11D1003WUK,£638.99,Lenovo,8 GB,Intel Core i5,Tower,-,-
HP Pro 400 G9 Mini 6B243EA,£780.08,HP,16 GB,Intel Core i7,Compact,-,0.23 %
HP ProOne 400 G6 1C6X2EA,£828.03,HP,8 GB,Intel Core i5,All-in-one,-,-
HP EliteOne 800 G6 4M749EA,"£1,149.60",HP,8 GB,Intel Core i5,All-in-one,-,-
-,"£2,189.97",HPE,-,-,-,-,6.21 %
MSI Cubi 5 10M Core i3-10110U Barebone,£189.98,MSI,8 GB,Intel Core i3,Compact,-,-
-,£209.99,Lenovo,-,-,-,-,22.22 %
Lenovo IdeaCentre 5i Gen 6,£211.14,Lenovo,8 GB,-,-,"https://www.pricerunner.com/product/40x40/3006601725/Lenovo-IdeaCentre-5i-Gen-6.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006601725/Lenovo-IdeaCentre-5i-Gen-6.jpg?ph=true&fmt=avif 2x",40.97 %
Intel NUC 11 Pro Kit NUC11TNKi3,£291.99,Intel,-,Intel Core i3,Barebone,-,-
HP Slim S01-aF2004na Desktop 256GB,£299.00,HP,8 GB,-,-,-,-
Intel Rnuc12wshi30000 Pc/workstation Barebone,£306.75,Intel,-,-,Barebone,-,-
-,£310.99,Aopen,-,-,Compact,-,-
ASUS PN64 Core i3 1220P,£319.50,ASUS,-,-,Compact,-,14.99 %
PRO DP21 12M,£353.43,-,-,-,-,-,-
Intel NUC 11 Pro Kit NUC11TNKi5,£369.05,Intel,-,Intel Core i5,Barebone,-,-
MSI Cubi 5 10M Core,£379.00,MSI,-,-,Compact,-,-
Gigabyte BRi5 GB-BRI5-10210E,£383.44,Gigabyte,-,Intel Core i5,Barebone,-,-
MSI Cubi 5 12M Core,£389.99,MSI,8 GB,Intel Core i5,Compact,-,-
-,£419.95,ASUS,8 GB,Intel Core i5,-,-,-
Acer CHROMEBOX CXI5 DT.Z29EK.003 Core 128GB,£437.32,Acer,-,Intel Core i3,Compact,-,-
ASUS ExpertCenter D500SCES-511400010W i5-11400 SFF,£443.70,ASUS,-,Intel Core i5,-,-,-
HP Pro 290 G9,£453.95,HP,-,-,-,-,-
HP 64l88ea#abu Prodesk 405 G8,£456.00,HP,8 GB,-,-,-,-
ASUS ExpertCenter E5 AiO E5202WHAK,£483.32,ASUS,8 GB,-,All-in-one,-,12.07 %
Intel Next Unit of Computing Kit 11 Pro,£504.64,Intel,-,-,Barebone,"https://www.pricerunner.com/product/40x40/3006604858/Intel-Next-Unit-of-Computing-Kit-11-Pro.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006604858/Intel-Next-Unit-of-Computing-Kit-11-Pro.jpg?ph=true&fmt=avif 2x",-
Gigabyte GB-BRI7-10710 (rev. 1.0),£512.99,Gigabyte,-,Intel Core i7,Barebone,"https://www.pricerunner.com/product/40x40/3003206469/Gigabyte-GB-BRI7-10710-%28rev.-1.0%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3003206469/Gigabyte-GB-BRI7-10710-%28rev.-1.0%29.jpg?ph=true&fmt=avif 2x",-
Acer Veriton Z Ci31215U 8 256GB,£513.30,Acer,8 GB,-,All-in-one,-,8.86 %
HP Pro 400 G9 6B2D2EA,£546.00,HP,8 GB,Intel Core i5,Compact,-,-
